NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	146	0.5310963	2.7951047	0.0	0.0	0.0	2953	tags=74%, list=35%, signal=111%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	49	0.6368207	2.7030945	0.0	0.0	0.0	1604	tags=65%, list=19%, signal=80%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	126	0.4885085	2.541843	0.0	0.0	0.0	3155	tags=74%, list=37%, signal=116%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	144	0.4466544	2.333964	0.0	0.0	0.0	3952	tags=89%, list=46%, signal=163%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	125	0.4080369	2.0379105	0.0	6.554865E-4	0.003	2875	tags=59%, list=34%, signal=88%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	73	0.39872268	1.8680216	0.0	0.0062212325	0.034	1760	tags=44%, list=21%, signal=55%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	22	0.524847	1.8070031	0.014861995	0.010236769	0.064	1549	tags=41%, list=18%, signal=50%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	86	0.29679984	1.4163395	0.04330709	0.16922992	0.728	1896	tags=36%, list=22%, signal=46%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	94	0.29320434	1.4080474	0.037656903	0.15880816	0.744	1543	tags=28%, list=18%, signal=33%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	45	0.32439294	1.3434076	0.08713693	0.20802708	0.857	1278	tags=29%, list=15%, signal=34%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	84	0.28325468	1.3374857	0.077083334	0.19696763	0.87	638	tags=14%, list=7%, signal=15%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	88	0.247662	1.1855536	0.20083682	0.41336197	0.994	1951	tags=34%, list=23%, signal=44%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	15	0.38121104	1.1635568	0.28769842	0.429756	0.997	589	tags=27%, list=7%, signal=29%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	97	0.23824856	1.1425883	0.22857143	0.4424045	0.997	975	tags=14%, list=11%, signal=16%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	17	0.3288284	1.068346	0.38036808	0.5830717	1.0	2580	tags=53%, list=30%, signal=76%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	103	0.20931552	1.0301368	0.41239315	0.6421133	1.0	2125	tags=41%, list=25%, signal=54%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	69	0.22062103	0.9914914	0.47870183	0.697567	1.0	1984	tags=35%, list=23%, signal=45%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	55	0.22658637	0.9814644	0.49068323	0.6829516	1.0	1431	tags=24%, list=17%, signal=28%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	83	0.20414482	0.97004	0.5102459	0.6727734	1.0	2493	tags=40%, list=29%, signal=56%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	54	0.21626675	0.93228495	0.59275055	0.72499985	1.0	636	tags=11%, list=7%, signal=12%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		80	0.19548178	0.91490525	0.61733615	0.7260831	1.0	1777	tags=28%, list=21%, signal=34%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		93	0.17546369	0.84054357	0.7837259	0.841107	1.0	1468	tags=22%, list=17%, signal=26%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		29	0.18886656	0.71068084	0.832981	0.98630965	1.0	725	tags=17%, list=9%, signal=19%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		43	0.16621011	0.6710117	0.9305857	0.97969234	1.0	1431	tags=19%, list=17%, signal=22%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		37	0.16434526	0.6617582	0.9485149	0.94613874	1.0	1804	tags=27%, list=21%, signal=34%	
