NAME	TITLE	SCORE	
GPRC5B	G protein-coupled receptor class C group 5 member B [Source:HGNC Symbol;Acc:HGNC:13308]	106.17578	
ALDOB	"aldolase, fructose-bisphosphate B [Source:HGNC Symbol;Acc:HGNC:417]"	62.548676	
LINC00665	long intergenic non-protein coding RNA 665 [Source:HGNC Symbol;Acc:HGNC:44323]	51.23202	
COL16A1	collagen type XVI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2193]	50.259476	
DHX30	DExH-box helicase 30 [Source:HGNC Symbol;Acc:HGNC:16716]	49.770016	
TMEM238L	transmembrane protein 238 like [Source:HGNC Symbol;Acc:HGNC:44356]	48.561462	
HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2 [Source:HGNC Symbol;Acc:HGNC:5008]	47.15555	
RRP9	"ribosomal RNA processing 9, U3 small nucleolar RNA binding protein [Source:HGNC Symbol;Acc:HGNC:16829]"	46.78889	
SGK1	serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]	46.3755	
PTGER4	prostaglandin E receptor 4 [Source:HGNC Symbol;Acc:HGNC:9596]	45.595783	
GASK1B	golgi associated kinase 1B [Source:HGNC Symbol;Acc:HGNC:25312]	43.972805	
CDH12	cadherin 12 [Source:HGNC Symbol;Acc:HGNC:1751]	41.743214	
NCAM1	neural cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:7656]	41.709484	
ZNF844	zinc finger protein 844 [Source:HGNC Symbol;Acc:HGNC:25932]	41.69068	
DLL1	delta like canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:2908]	40.661877	
SIK1B	salt inducible kinase 1B (putative) [Source:HGNC Symbol;Acc:HGNC:52389]	38.72021	
LRATD1	LRAT domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20743]	37.211273	
SLC19A3	solute carrier family 19 member 3 [Source:HGNC Symbol;Acc:HGNC:16266]	36.955147	
MPP1	membrane palmitoylated protein 1 [Source:HGNC Symbol;Acc:HGNC:7219]	36.441235	
GATA4	GATA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:4173]	36.387768	
MUC12	"mucin 12, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7510]"	36.38213	
CHCHD4	coiled-coil-helix-coiled-coil-helix domain containing 4 [Source:HGNC Symbol;Acc:HGNC:26467]	35.5429	
BCKDHB	branched chain keto acid dehydrogenase E1 subunit beta [Source:HGNC Symbol;Acc:HGNC:987]	35.50263	
RPL7L1	ribosomal protein L7 like 1 [Source:HGNC Symbol;Acc:HGNC:21370]	34.86955	
ALCAM	activated leukocyte cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:400]	33.28012	
CEP57L1	centrosomal protein 57 like 1 [Source:HGNC Symbol;Acc:HGNC:21561]	32.63689	
