NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	200	94		
HALLMARK_HYPOXIA	200	101		
HALLMARK_CHOLESTEROL_HOMEOSTASIS	74	35		
HALLMARK_MITOTIC_SPINDLE	199	93		
HALLMARK_WNT_BETA_CATENIN_SIGNALING	42	22		
HALLMARK_TGF_BETA_SIGNALING	54	32		
HALLMARK_IL6_JAK_STAT3_SIGNALING	87	39		
HALLMARK_DNA_REPAIR	150	88		
HALLMARK_G2M_CHECKPOINT	200	125		
HALLMARK_APOPTOSIS	161	85		
HALLMARK_NOTCH_SIGNALING	32	15		
HALLMARK_ADIPOGENESIS	200	83		
HALLMARK_ESTROGEN_RESPONSE_EARLY	200	101		
HALLMARK_ESTROGEN_RESPONSE_LATE	200	97		
HALLMARK_ANDROGEN_RESPONSE	100	54		
HALLMARK_MYOGENESIS	200	82		
HALLMARK_PROTEIN_SECRETION	96	43		
HALLMARK_INTERFERON_ALPHA_RESPONSE	97	57		
HALLMARK_INTERFERON_GAMMA_RESPONSE	200	98		
HALLMARK_APICAL_JUNCTION	200	93		
HALLMARK_APICAL_SURFACE	44	18		
HALLMARK_HEDGEHOG_SIGNALING	36	18		
HALLMARK_COMPLEMENT	200	94		
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	113	69		
HALLMARK_PI3K_AKT_MTOR_SIGNALING	105	45		
HALLMARK_MTORC1_SIGNALING	200	103		
HALLMARK_E2F_TARGETS	200	144		
HALLMARK_MYC_TARGETS_V1	200	146		
HALLMARK_MYC_TARGETS_V2	58	49		
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	85		
HALLMARK_INFLAMMATORY_RESPONSE	200	74		
HALLMARK_XENOBIOTIC_METABOLISM	200	80		
HALLMARK_FATTY_ACID_METABOLISM	158	73		
HALLMARK_OXIDATIVE_PHOSPHORYLATION	200	126		
HALLMARK_GLYCOLYSIS	200	102		
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	49	29		
HALLMARK_P53_PATHWAY	200	103		
HALLMARK_UV_RESPONSE_UP	158	86		
HALLMARK_UV_RESPONSE_DN	144	70		
HALLMARK_ANGIOGENESIS	36		Rejected!	
HALLMARK_HEME_METABOLISM	200	98		
HALLMARK_COAGULATION	138	65		
HALLMARK_IL2_STAT5_SIGNALING	199	85		
HALLMARK_BILE_ACID_METABOLISM	112	55		
HALLMARK_PEROXISOME	104	56		
HALLMARK_ALLOGRAFT_REJECTION	200	61		
HALLMARK_SPERMATOGENESIS	135	37		
HALLMARK_KRAS_SIGNALING_UP	200	84		
HALLMARK_KRAS_SIGNALING_DN	200	68		
HALLMARK_PANCREAS_BETA_CELLS	40	17		
