NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GLI1_UP.V1_DN	17	17		
GLI1_UP.V1_UP	24	23		
GCNP_SHH_UP_EARLY.V1_DN	167	136		
GCNP_SHH_UP_LATE.V1_DN	178	150		
RAPA_EARLY_UP.V1_DN	185	152		
RAPA_EARLY_UP.V1_UP	167	125		
HINATA_NFKB_MATRIX	11		Rejected!	
CYCLIN_D1_KE_.V1_UP	188	168		
CYCLIN_D1_UP.V1_UP	187	149		
CSR_EARLY_UP.V1_DN	126	116		
VEGF_A_UP.V1_UP	195	159		
BCAT_GDS748_DN	45	41		
BCAT_GDS748_UP	48	41		
BCAT.100_UP.V1_DN	41	28		
BCAT.100_UP.V1_UP	49	43		
ATF2_S_UP.V1_UP	192	136		
ATF2_UP.V1_UP	190	126		
WNT_UP.V1_UP	178	128		
ATM_DN.V1_DN	146	88		
ATM_DN.V1_UP	146	98		
P53_DN.V2_DN	145	107		
RELA_DN.V1_DN	139	88		
BCAT_BILD_ET_AL_DN	46	46		
BCAT_BILD_ET_AL_UP	45	43		
E2F3_UP.V1_UP	190	159		
CAMP_UP.V1_DN	199	183		
CAMP_UP.V1_UP	200	198		
PRC1_BMI_UP.V1_UP	185	132		
PRC2_EED_DN.V1_UP	191	150		
PRC2_EZH2_UP.V1_UP	192	150		
PRC2_SUZ12_UP.V1_UP	185	131		
JNK_DN.V1_DN	190	139		
JNK_DN.V1_UP	186	142		
BRCA1_DN.V1_UP	133	67		
CTIP_DN.V1_UP	135	72		
PKCA_DN.V1_DN	154	122		
MTOR_UP.N4.V1_DN	184	174		
PTEN_DN.V2_UP	139	108		
DCA_UP.V1_UP	185	120		
ESC_J1_UP_EARLY.V1_UP	178	152		
ESC_J1_UP_LATE.V1_UP	185	158		
ESC_V6.5_UP_EARLY.V1_UP	164	135		
ESC_V6.5_UP_LATE.V1_UP	182	158		
PTEN_DN.V1_DN	184	116		
NOTCH_DN.V1_DN	183	120		
EIF4E_DN	100	96		
EIF4E_UP	100	87		
CRX_DN.V1_DN	132	97		
CRX_DN.V1_UP	135	105		
CRX_NRL_DN.V1_DN	126	102		
CRX_NRL_DN.V1_UP	140	112		
NRL_DN.V1_DN	132	111		
NRL_DN.V1_UP	136	105		
RB_DN.V1_DN	123	105		
RB_P107_DN.V1_DN	126	120		
RB_P130_DN.V1_DN	135	125		
CAHOY_ASTROCYTIC	100	79		
CAHOY_NEURONAL	100	54		
CAHOY_OLIGODENDROCUTIC	100	88		
IL15_UP.V1_DN	185	119		
IL2_UP.V1_DN	193	144		
IL21_UP.V1_DN	186	121		
PDGF_ERK_DN.V1_DN	149	137		
PDGF_ERK_DN.V1_UP	145	120		
PDGF_UP.V1_DN	135	89		
PDGF_UP.V1_UP	146	132		
TGFB_UP.V1_DN	191	163		
YAP1_DN	47	31		
YAP1_UP	47	43		
SIRNA_EIF4GI_DN	98	82		
SIRNA_EIF4GI_UP	95	91		
SINGH_KRAS_DEPENDENCY_SIGNATURE	20	20		
STK33_DN	280	241		
STK33_NOMO_DN	282	245		
STK33_SKM_DN	276	228		
KRAS.DF.V1_DN	193	153		
TBK1.DN.48HRS_DN	50	47		
TBK1.DN.48HRS_UP	50	47		
NFE2L2.V2	469	335		
CORDENONSI_YAP_CONSERVED_SIGNATURE	58	52		
JAK2_DN.V1_DN	146	122		
JAK2_DN.V1_UP	183	105		
PGF_UP.V1_DN	190	150		
E2F1_UP.V1_DN	187	172		
EGFR_UP.V1_UP	192	179		
