NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	200	185		
HALLMARK_HYPOXIA	200	185		
HALLMARK_CHOLESTEROL_HOMEOSTASIS	74	71		
HALLMARK_MITOTIC_SPINDLE	199	187		
HALLMARK_WNT_BETA_CATENIN_SIGNALING	42	39		
HALLMARK_TGF_BETA_SIGNALING	54	54		
HALLMARK_IL6_JAK_STAT3_SIGNALING	87	74		
HALLMARK_DNA_REPAIR	150	145		
HALLMARK_G2M_CHECKPOINT	200	179		
HALLMARK_APOPTOSIS	161	150		
HALLMARK_NOTCH_SIGNALING	32	30		
HALLMARK_ADIPOGENESIS	200	181		
HALLMARK_ESTROGEN_RESPONSE_EARLY	200	189		
HALLMARK_ESTROGEN_RESPONSE_LATE	200	184		
HALLMARK_ANDROGEN_RESPONSE	100	97		
HALLMARK_MYOGENESIS	200	144		
HALLMARK_PROTEIN_SECRETION	96	94		
HALLMARK_INTERFERON_ALPHA_RESPONSE	97	95		
HALLMARK_INTERFERON_GAMMA_RESPONSE	200	186		
HALLMARK_APICAL_JUNCTION	200	169		
HALLMARK_APICAL_SURFACE	44	37		
HALLMARK_HEDGEHOG_SIGNALING	36	30		
HALLMARK_COMPLEMENT	200	175		
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	113	111		
HALLMARK_PI3K_AKT_MTOR_SIGNALING	105	96		
HALLMARK_MTORC1_SIGNALING	200	194		
HALLMARK_E2F_TARGETS	200	185		
HALLMARK_MYC_TARGETS_V1	200	197		
HALLMARK_MYC_TARGETS_V2	58	57		
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	157		
HALLMARK_INFLAMMATORY_RESPONSE	200	167		
HALLMARK_XENOBIOTIC_METABOLISM	200	172		
HALLMARK_FATTY_ACID_METABOLISM	158	145		
HALLMARK_OXIDATIVE_PHOSPHORYLATION	200	200		
HALLMARK_GLYCOLYSIS	200	187		
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	49	48		
HALLMARK_P53_PATHWAY	200	191		
HALLMARK_UV_RESPONSE_UP	158	142		
HALLMARK_UV_RESPONSE_DN	144	134		
HALLMARK_ANGIOGENESIS	36	29		
HALLMARK_HEME_METABOLISM	200	176		
HALLMARK_COAGULATION	138	108		
HALLMARK_IL2_STAT5_SIGNALING	199	175		
HALLMARK_BILE_ACID_METABOLISM	112	99		
HALLMARK_PEROXISOME	104	96		
HALLMARK_ALLOGRAFT_REJECTION	200	167		
HALLMARK_SPERMATOGENESIS	135	81		
HALLMARK_KRAS_SIGNALING_UP	200	161		
HALLMARK_KRAS_SIGNALING_DN	200	125		
HALLMARK_PANCREAS_BETA_CELLS	40	27		
