NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	185	-0.5065278	-1.7987121	0.0	0.0083250245	0.009	2009	tags=27%, list=10%, signal=30%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	187	-0.47008458	-1.6750107	0.0	0.018652128	0.041	1949	tags=22%, list=10%, signal=24%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	71	-0.5194971	-1.6032428	0.0019011407	0.026807263	0.084	2190	tags=25%, list=11%, signal=28%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	186	-0.45399052	-1.5816742	0.0	0.024504572	0.102	2600	tags=24%, list=13%, signal=28%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	54	-0.52683	-1.5691612	0.011494253	0.023068259	0.119	3289	tags=39%, list=17%, signal=47%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	169	-0.4225014	-1.477292	0.007751938	0.045440935	0.256	1823	tags=22%, list=9%, signal=24%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	134	-0.42624986	-1.4497223	0.0	0.049453475	0.318	3173	tags=31%, list=16%, signal=36%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	144	-0.41369417	-1.414393	0.009784736	0.060979944	0.421	2616	tags=28%, list=13%, signal=33%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	189	-0.39852548	-1.4115103	0.003960396	0.055879142	0.428	3097	tags=26%, list=16%, signal=31%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	95	-0.43614072	-1.3993604	0.019723866	0.055010356	0.455	4090	tags=39%, list=21%, signal=49%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	167	-0.37983474	-1.3193516	0.0317757	0.10400495	0.719	1784	tags=14%, list=9%, signal=15%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	157	-0.38102624	-1.3024986	0.03448276	0.11094623	0.766	2737	tags=25%, list=14%, signal=29%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	108	-0.39972818	-1.3016593	0.05772812	0.10302605	0.768	2544	tags=28%, list=13%, signal=32%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	125	-0.38238007	-1.2789263	0.06994329	0.116718896	0.83	2781	tags=26%, list=14%, signal=30%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	30	-0.48271424	-1.2640352	0.15009746	0.12343351	0.878	1491	tags=23%, list=8%, signal=25%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	175	-0.36057445	-1.2606592	0.051485147	0.11888264	0.881	2698	tags=23%, list=14%, signal=26%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	150	-0.36151674	-1.2409585	0.07183365	0.13027388	0.914	2161	tags=21%, list=11%, signal=23%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	167	-0.35004115	-1.210457	0.085388996	0.15658812	0.959	2737	tags=20%, list=14%, signal=23%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	176	-0.34255934	-1.2093949	0.08806262	0.14944836	0.961	3173	tags=24%, list=16%, signal=29%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	74	-0.37982908	-1.1888099	0.15572232	0.16309968	0.978	2337	tags=23%, list=12%, signal=26%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		191	-0.333151	-1.175923	0.12773722	0.17037523	0.987	2036	tags=16%, list=10%, signal=17%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		175	-0.31754008	-1.1145102	0.20670392	0.24851228	0.998	2274	tags=19%, list=12%, signal=22%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		96	-0.33341318	-1.0697961	0.30844793	0.3137757	0.999	1556	tags=15%, list=8%, signal=16%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		37	-0.33619022	-0.9297693	0.55668014	0.6158442	1.0	1817	tags=16%, list=9%, signal=18%	
